// Red Pouch of Surprise Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,Poring,1002
1001,스콜피온,214285
1002,포링,1000000
1004,호넷,357142
1005,퍼밀리어,357142
1007,파브르,428571
1008,푸파,71428
1009,콘도르,357142
1010,윌로우,357142
1011,촌촌,357142
1012,로다프로그,357142
1013,울프,357142
1014,스포아,357142
1015,좀비,357142
1016,아쳐_스켈레톤,214285
1018,크리미,357142
1019,페코페코,357142
1020,만드라고라,357142
1023,오크_워리어,214285
1024,웜테일,357142
1025,보아,357142
1026,무낙,214285
1028,솔져_스켈레톤,214285
1029,이시스,71428
1030,아나콘다크,214285
1031,포포링,357142
1032,베릿트,214285
1033,엘더_윌로우,214285
1034,타라프로그,214285
1035,헌터플라이,71428
1036,구울,214285
1037,사이드_와인더,71428
1040,고렘,214285
1041,미이라,214285
1042,스틸_촌촌,357142
1044,오본느,214285
1045,마르크,214285
1047,페코페코_알,71428
1048,도둑벌레_알,71428
1049,픽키,357142
1050,픽키,357142
1051,도둑벌레,357142
1052,로커,357142
1053,도둑벌레,357142
1054,도둑벌레,357142
1055,무카,357142
1056,스모키,357142
1057,요요,357142
1058,메틀러,214285
1060,빅풋,214285
1061,나이트메어,71428
1062,산타포링,357142
1063,루나틱,357142
1064,메갈로돈,214285
1065,스트라우프,214285
1066,바돈,357142
1067,커너투스,214285
1068,히드라,357142
1069,소드피쉬,214285
1070,쿠크레,357142
1071,파이어럿_스켈,214285
1072,카호,71428
1073,게,214285
1074,조개,357142
1076,스켈레톤,357142
1077,포이즌_스포아,357142
1078,빨간_풀,71428
1079,파란_풀,71428
1080,초록_풀,71428
1081,노란_풀,71428
1082,하얀_풀,71428
1083,빛나는_풀,71428
1084,검은_버섯,71428
1085,붉은_버섯,71428
1088,보컬,71428
1089,토드,71428
1090,마스터링,71428
1091,드래곤_플라이,71428
1092,떠돌이_늑대,71428
1093,이클립스,71428
1094,앰버나이트,357142
1095,앙드레,357142
1096,엔젤링,71428
1097,개미_알,71428
1099,아르지오프,71428
1100,아르고스,214285
1101,바포메트_주니어,71428
1102,바소리,71428
1103,카라멜,214285
1104,코코,357142
1105,데니로,357142
1106,데저트_울프,214285
1107,데저트_울프,71428
1108,데비어스,71428
1109,데비루치,71428
1110,도깨비,214285
1111,드레인리어,214285
1113,드롭프스,357142
1114,더스티네스,214285
1116,에기라,214285
1117,이블_드루이드,71428
1118,플로라,214285
1119,프릴도라,214285
1120,고스트링,71428
1121,가이아스,214285
1122,고블린,214285
1123,고블린,214285
1124,고블린,214285
1125,고블린,214285
1126,고블린,214285
1127,호드,214285
1128,호른,357142
1129,호롱,214285
1130,잭,214285
1131,조커,71428
1132,칼리츠버그,71428
1133,코볼트,214285
1134,코볼트,214285
1135,코볼트,214285
1138,백련옥,214285
1139,맨티스,214285
1140,마르두크,214285
1141,마리나,214285
1142,마린_스피어,214285
1143,마리오네트,71428
1144,마르스,214285
1145,마르틴,357142
1146,마타,214285
1148,메두사,71428
1149,마이너우로스,71428
1151,미스트,214285
1152,오크_스켈레톤,214285
1153,오크_좀비,214285
1154,파사나,71428
1155,쁘띠,71428
1156,쁘띠,71428
1158,휀,214285
1160,피에르,357142
1161,플랑크톤,357142
1163,레이드릭,71428
1164,레퀴엠,214285
1165,샌드맨,214285
1166,세비지,214285
1167,세비지베베,357142
1169,스켈워커,214285
1170,소희,214285
1174,스타이너,357142
1175,타로우,357142
1176,비타타,214285
1177,제노크,214285
1178,제롬,214285
1179,위스퍼,71428
1180,구미호,71428
1182,버섯,71428
1185,위스퍼,71428
1186,거대_위스퍼,71428
1188,본건,214285
1189,오크_아쳐,71428
1191,미믹,71428
1192,레이쓰,71428
1193,알람,71428
1194,아크라우스,71428
1195,라이드워드,71428
1196,스켈_프리즈너,71428
1197,좀비_프리즈너,71428
1199,펑크,71428
1200,지르타스,71428
1201,리비오,71428
1202,펜다르크,71428
1203,미스틸테인,71428
1204,오우거투스,71428
1205,엑서큐서너,71428
1206,아놀리안,71428
1207,스팅,71428
1208,배회하는_자,71428
1209,크램프,71428
1211,브릴라이트,71428
1212,아이언_피스트,71428
1213,하이_오크,71428
1214,초코,71428
1215,스템웜,214285
1216,페노메나,71428
1219,심연의_기사,71428
1242,마린,357142
1243,사스콰치,214285
1245,고블린,71428
1246,쿠키,214285
1248,크루이저,214285
1249,미스트_케이스,214285
1250,체펫트,71428
1253,가고일,71428
1254,레글러,214285
1255,네레이드,214285
1256,페스트,214285
1257,인저스티스,71428
1258,고블린_아쳐,214285
1259,그리폰,71428
1260,다크_프레임,71428
1261,와일드로즈,214285
1262,뮤턴트_드래고노이드,71428
1263,윈드고스트,71428
1264,머맨,71428
1265,쿠키,214285
1266,에스터,357142
1267,캐럿,71428
1268,피빛의_기사,71428
1269,클락,71428
1270,시계탑_관리자,71428
1271,엘리게이터,71428
1273,오크_레이디,214285
1274,메갈리스,71428
1275,엘리스,71428
1276,레이드릭_아쳐,71428
1277,천하대장군,214285
1278,스터랙틱_골렘,71428
1279,트라이조인트,214285
1280,고블린_스팀라이더,214285
1281,세이지_웜,71428
1282,코볼트_아쳐,214285
1283,키메라,71428
1289,마야_퍼플,71428
1290,스켈레톤_제네럴,71428
1291,레이스_데드,71428
1292,미니_데몬,71428
1293,크리미_피어,71428
1294,킬러_맨티스,71428
1295,아울_바론,71428
1296,코볼트_리더,71428
1297,에인션트_미이라,71428
1298,좀비_마스터,71428
1299,고블린_리더,71428
1300,캐터필러,71428
1301,암_무트,71428
1302,다크_일루젼,71428
1303,자이언트_호넷,71428
1304,자이언트_스파이더,71428
1305,에인션트_웜,71428
1306,레이브_올마이,71428
1307,캣_오_나인_테일,71428
1308,팬저_고블린,71428
1309,가조마르트,71428
1310,메이저우로스,71428
1311,글린_부르스티,71428
1313,폭력배,71428
1314,퍼머터,71428
1315,어절터,71428
1316,솔리더,71428
1317,퍼씰,71428
1318,힛터,71428
1319,프리저,71428
1320,아울_듀크,71428
1321,드래곤_테일,71428
1322,스프링래빗,71428
1323,해달,71428
1365,아포칼립스,71428
1366,라바_골렘,71428
1367,블레이저,71428
1368,지오그래퍼,71428
1369,그랜드_페코,71428
1370,서큐버스,71428
1371,페이크_엔젤,71428
1372,고우트,71428
1374,인큐버스,71428
1375,더_페이퍼,71428
1376,하피,71428
1377,엘더,71428
1378,데몬_펑거스,71428
1379,나이트메어_테러,71428
1380,드릴러,71428
1381,그리즐리,71428
1382,디아볼릭,71428
1383,익스플로젼,71428
1384,딜리터,71428
1385,딜리터,71428
1386,슬리퍼,71428
1387,기그,71428
1390,바이올리,71428
1391,갈라파고,71428
1392,로터자이로,214285
1400,카라카사,214285
1401,시노비,71428
1402,독두꺼비,71428
1403,구식_조총병,71428
1404,미야비인형,214285
1405,천구,71428
1406,캇파,71428
1408,혈호접,71428
1409,경단동자,214285
1410,생도목,71428
1412,운악선,71428
1413,신선초,71428
1415,아기표범,214285
1416,요선녀,71428
1417,지퍼베어,214285
1493,드라이어드,71428
1494,투구벌레,214285
1495,스톤슈터,71428
1497,우든골렘,71428
1498,우탄슈터,214285
1499,우탄파이터,71428
1500,패러사이트,214285
1503,지벳트,71428
1504,듀라한,71428
1505,로리루리,71428
1506,디스가이즈,71428
1507,블러디_머더러,71428
1508,큐브,214285
1509,루드,214285
1510,하이로_조이스트,71428
1512,혜군,71428
1513,묘괴,71428
1514,저파룡,71428
1515,하티베베,71428
1516,식양,71428
1517,이매망량,71428
1519,청이,71428
1520,주먹밥,71428
1582,데빌링,71428
1584,탐루안,71428
1586,리프캣,71428
1587,크라벤,71428
1613,메탈링,71428
1614,미네랄,71428
1615,옵시디언,71428
1616,핏맨,71428
1617,고철난로,71428
1618,운골리안트,71428
1619,폴셀리오,71428
1620,녹시어스,71428
1621,베노머스,71428
1622,곰인형,71428
